period_end,value
2005-03-31,86.5093181065058
2005-06-30,86.5093181065058
2005-09-30,86.5093181065058
2005-12-31,86.5093181065058
2006-03-31,87.9362296125358
2006-06-30,87.9362296125358
2006-09-30,87.9362296125358
2006-12-31,87.9362296125358
2007-03-31,92.1719134940607
2007-06-30,92.1719134940607
2007-09-30,92.1719134940607
2007-12-31,92.1719134940607
2008-03-31,97.6333310615016
2008-06-30,97.6333310615016
2008-09-30,97.6333310615016
2008-12-31,97.6333310615016
2009-03-31,96.9223990713834
2009-06-30,96.9223990713834
2009-09-30,96.9223990713834
2009-12-31,96.9223990713834
2010-03-31,100.0
2010-06-30,100.0
2010-09-30,100.0
2010-12-31,100.0
2011-03-31,105.553898922575
2011-06-30,105.553898922575
2011-09-30,105.553898922575
2011-12-31,105.553898922575
2012-03-31,108.318908982374
2012-06-30,108.318908982374
2012-09-30,108.318908982374
2012-12-31,108.318908982374
2013-03-31,111.158001765192
2013-06-30,111.158001765192
2013-09-30,111.158001765192
2013-12-31,111.158001765192
2014-03-31,113.294060199837
2014-06-30,113.294060199837
2014-09-30,113.294060199837
2014-12-31,113.294060199837
2015-03-31,114.922122819495
2015-06-30,114.922122819495
2015-09-30,114.922122819495
2015-12-31,114.922122819495
2016-03-31,117.220567369674
2016-06-30,117.220567369674
2016-09-30,117.220567369674
2016-12-31,117.220567369674
2017-03-31,119.088050428682
2017-06-30,119.088050428682
2017-09-30,119.088050428682
2017-12-31,119.088050428682
2018-03-31,121.558877866113
2018-06-30,121.558877866113
2018-09-30,121.558877866113
2018-12-31,121.558877866113
2019-03-31,125.083154382075
2019-06-30,125.083154382075
2019-09-30,125.083154382075
2019-12-31,125.083154382075
2020-03-31,128.109443605623
2020-06-30,128.109443605623
2020-09-30,128.109443605623
2020-12-31,128.109443605623
2021-03-31,129.366216637457
2021-06-30,129.366216637457
2021-09-30,129.366216637457
2021-12-31,129.366216637457
2022-03-31,131.919356668535
2022-06-30,131.919356668535
2022-09-30,131.919356668535
2022-12-31,131.919356668535
2023-03-31,132.229151902431
2023-06-30,132.229151902431
2023-09-30,132.229151902431
2023-12-31,132.229151902431
2024-03-31,132.517581947783
2024-06-30,132.517581947783
2024-09-30,132.517581947783
2024-12-31,132.517581947783
