period_end,value
2005-03-31,18990750000000.0
2005-06-30,18990750000000.0
2005-09-30,18990750000000.0
2005-12-31,18990750000000.0
2006-03-31,22257840000000.0
2006-06-30,22257840000000.0
2006-09-30,22257840000000.0
2006-12-31,22257840000000.0
2007-03-31,27417970000000.0
2007-06-30,27417970000000.0
2007-09-30,27417970000000.0
2007-12-31,27417970000000.0
2008-03-31,32431780000000.0
2008-06-30,32431780000000.0
2008-09-30,32431780000000.0
2008-12-31,32431780000000.0
2009-03-31,35452160000000.0
2009-06-30,35452160000000.0
2009-09-30,35452160000000.0
2009-12-31,35452160000000.0
2010-03-31,41925330000000.0
2010-06-30,41925330000000.0
2010-09-30,41925330000000.0
2010-12-31,41925330000000.0
2011-03-31,49570760000000.0
2011-06-30,49570760000000.0
2011-09-30,49570760000000.0
2011-12-31,49570760000000.0
2012-03-31,54751060000000.0
2012-06-30,54751060000000.0
2012-09-30,54751060000000.0
2012-12-31,54751060000000.0
2013-03-31,60366040000000.0
2013-06-30,60366040000000.0
2013-09-30,60366040000000.0
2013-12-31,60366040000000.0
2014-03-31,65578290000000.0
2014-06-30,65578290000000.0
2014-09-30,65578290000000.0
2014-12-31,65578290000000.0
2015-03-31,70251150000000.0
2015-06-30,70251150000000.0
2015-09-30,70251150000000.0
2015-12-31,70251150000000.0
2016-03-31,76119300000000.0
2016-06-30,76119300000000.0
2016-09-30,76119300000000.0
2016-12-31,76119300000000.0
2017-03-31,84738290000000.0
2017-06-30,84738290000000.0
2017-09-30,84738290000000.0
2017-12-31,84738290000000.0
2018-03-31,93601010000000.0
2018-06-30,93601010000000.0
2018-09-30,93601010000000.0
2018-12-31,93601010000000.0
2019-03-31,100587240000000.0
2019-06-30,100587240000000.0
2019-09-30,100587240000000.0
2019-12-31,100587240000000.0
2020-03-31,103486760000000.0
2020-06-30,103486760000000.0
2020-09-30,103486760000000.0
2020-12-31,103486760000000.0
2021-03-31,117382300000000.0
2021-06-30,117382300000000.0
2021-09-30,117382300000000.0
2021-12-31,117382300000000.0
2022-03-31,123402940000000.0
2022-06-30,123402940000000.0
2022-09-30,123402940000000.0
2022-12-31,123402940000000.0
2023-03-31,129427170000000.0
2023-06-30,129427170000000.0
2023-09-30,129427170000000.0
2023-12-31,129427170000000.0
2024-03-31,134908354627800.0
2024-06-30,134908354627800.0
2024-09-30,134908354627800.0
2024-12-31,134908354627800.0
