period_end,value
2005-03-31,89.5605323721102
2005-06-30,89.5605323721102
2005-09-30,89.5605323721102
2005-12-31,89.5605323721102
2006-03-31,92.4497050827274
2006-06-30,92.4497050827274
2006-09-30,92.4497050827274
2006-12-31,92.4497050827274
2007-03-31,95.0869923788515
2007-06-30,95.0869923788515
2007-09-30,95.0869923788515
2007-12-31,95.0869923788515
2008-03-31,98.7374773853445
2008-06-30,98.7374773853445
2008-09-30,98.7374773853445
2008-12-31,98.7374773853445
2009-03-31,98.3864199710624
2009-06-30,98.3864199710624
2009-09-30,98.3864199710624
2009-12-31,98.3864199710624
2010-03-31,100.0
2010-06-30,100.0
2010-09-30,100.0
2010-12-31,100.0
2011-03-31,103.156841568622
2011-06-30,103.156841568622
2011-09-30,103.156841568622
2011-12-31,103.156841568622
2012-03-31,105.291504532867
2012-06-30,105.291504532867
2012-09-30,105.291504532867
2012-12-31,105.291504532867
2013-03-31,106.833848874866
2013-06-30,106.833848874866
2013-09-30,106.833848874866
2013-12-31,106.833848874866
2014-03-31,108.566932118964
2014-06-30,108.566932118964
2014-09-30,108.566932118964
2014-12-31,108.566932118964
2015-03-31,108.695721960694
2015-06-30,108.695721960694
2015-09-30,108.695721960694
2015-12-31,108.695721960694
2016-03-31,110.06700893427
2016-06-30,110.06700893427
2016-09-30,110.06700893427
2016-12-31,110.06700893427
2017-03-31,112.411557302308
2017-06-30,112.411557302308
2017-09-30,112.411557302308
2017-12-31,112.411557302308
2018-03-31,115.157303224791
2018-06-30,115.157303224791
2018-09-30,115.157303224791
2018-12-31,115.157303224791
2019-03-31,117.244195476228
2019-06-30,117.244195476228
2019-09-30,117.244195476228
2019-12-31,117.244195476228
2020-03-31,118.690501577198
2020-06-30,118.690501577198
2020-09-30,118.690501577198
2020-12-31,118.690501577198
2021-03-31,124.266413825838
2021-06-30,124.266413825838
2021-09-30,124.266413825838
2021-12-31,124.266413825838
2022-03-31,134.21120616846
2022-06-30,134.21120616846
2022-09-30,134.21120616846
2022-12-31,134.21120616846
2023-03-31,139.73579356326
2023-06-30,139.73579356326
2023-09-30,139.73579356326
2023-12-31,139.73579356326
2024-03-31,143.857336014608
2024-06-30,143.857336014608
2024-09-30,143.857336014608
2024-12-31,143.857336014608
