period_end,value
2005-03-31,6.18916666666667
2005-06-30,6.18916666666667
2005-09-30,6.18916666666667
2005-12-31,6.18916666666667
2006-03-31,7.9575
2006-06-30,7.9575
2006-09-30,7.9575
2006-12-31,7.9575
2007-03-31,8.05
2007-06-30,8.05
2007-09-30,8.05
2007-12-31,8.05
2008-03-31,5.0875
2008-06-30,5.0875
2008-09-30,5.0875
2008-12-31,5.0875
2009-03-31,3.25
2009-06-30,3.25
2009-09-30,3.25
2009-12-31,3.25
2010-03-31,3.25
2010-06-30,3.25
2010-09-30,3.25
2010-12-31,3.25
2011-03-31,3.25
2011-06-30,3.25
2011-09-30,3.25
2011-12-31,3.25
2012-03-31,3.25
2012-06-30,3.25
2012-09-30,3.25
2012-12-31,3.25
2013-03-31,3.25
2013-06-30,3.25
2013-09-30,3.25
2013-12-31,3.25
2014-03-31,3.25
2014-06-30,3.25
2014-09-30,3.25
2014-12-31,3.25
2015-03-31,3.26
2015-06-30,3.26
2015-09-30,3.26
2015-12-31,3.26
2016-03-31,3.51166666666667
2016-06-30,3.51166666666667
2016-09-30,3.51166666666667
2016-12-31,3.51166666666667
2017-03-31,4.09666666666667
2017-06-30,4.09666666666667
2017-09-30,4.09666666666667
2017-12-31,4.09666666666667
2018-03-31,4.90416666666667
2018-06-30,4.90416666666667
2018-09-30,4.90416666666667
2018-12-31,4.90416666666667
2019-03-31,5.2825
2019-06-30,5.2825
2019-09-30,5.2825
2019-12-31,5.2825
2020-03-31,3.54416666666667
2020-06-30,3.54416666666667
2020-09-30,3.54416666666667
2020-12-31,3.54416666666667
2021-03-31,3.25
2021-06-30,3.25
2021-09-30,3.25
2021-12-31,3.25
