period_end,deposit_rate_pct,deposit_rate_hist_min,deposit_rate_hist_max,pe_macro,pe_anchor_reference,macro_pe_vs_anchor,ttm_net_profit_proxy,ttm_quarters_used,ttm_proxy_method,shares_outstanding,ttm_eps,intrinsic_per_share_pe_simple,qual_scores_fill_source,qual_score_product,qual_pe_multiplier,pe_after_qual_pre_clip,pe_after_qual,intrinsic_per_share_pe_qual_adjusted
2021-06-30,1.5,0.5,4.14,20.9011,20.0,1.045055,42798093863.88,1,annualize_1q,1252270215.0,34.1764,714.3244,observed,2281675230.0,1.155078,24.1424,24.0,820.2337
2021-09-30,3.5,0.5,4.14,18.7033,20.0,0.935165,46623424148.72,2,annualize_2q,1252270215.0,37.2311,696.3447,observed,2281675230.0,1.155078,21.6038,21.6038,804.3323
2021-12-31,3.5,0.5,4.14,18.7033,20.0,0.935165,51340909723.4,3,annualize_3q,1252270215.0,40.9983,766.8028,observed,2408434965.0,1.156721,21.6345,21.6345,886.9772
2022-03-31,3.5,0.5,4.14,18.7033,20.0,0.935165,55750650879.87,4,ttm_4q,1252270215.0,44.5197,832.6645,observed,1759847654.25,1.147183,21.4561,21.4561,955.2188
2022-06-30,3.0,0.5,4.14,19.2527,20.0,0.962637,57600066904.41,4,ttm_4q,1252270215.0,45.9965,885.5593,observed,1759847654.25,1.147183,22.0864,22.0864,1015.8988
2022-09-30,3.0,0.5,4.14,19.2527,20.0,0.962637,59593785801.73,4,ttm_4q,1252270215.0,47.5886,916.2113,observed,1759847654.25,1.147183,22.0864,22.0864,1051.0622
2022-12-31,2.5,0.5,4.14,19.8022,20.0,0.99011,62717467870.12,4,ttm_4q,1252270215.0,50.083,991.7538,observed,1759847654.25,1.147183,22.7167,22.7167,1137.7233
2023-03-31,2.5,0.5,4.14,19.8022,20.0,0.99011,66267382037.35,4,ttm_4q,1252270215.0,52.9178,1047.8887,observed,3251387202.75,1.165845,23.0863,23.0863,1221.6756
2023-06-30,2.5,0.5,4.14,19.8022,20.0,0.99011,68903974883.06,4,ttm_4q,1252270215.0,55.0232,1089.5812,observed,3251387202.75,1.165845,23.0863,23.0863,1270.2826
2023-09-30,2.0,0.5,4.14,20.3516,20.0,1.017582,71193869350.7,4,ttm_4q,1252270215.0,56.8518,1157.0287,observed,3251387202.75,1.165845,23.7269,23.7269,1348.9159
2023-12-31,2.0,0.5,4.14,20.3516,20.0,1.017582,74734071550.75,4,ttm_4q,1252270215.0,59.6789,1214.5634,observed,3251387202.75,1.165845,23.7269,23.7269,1415.9924
2024-03-31,2.0,0.5,4.14,20.3516,20.0,1.017582,78004451170.35,4,ttm_4q,1252270215.0,62.2904,1267.7129,observed,3406784385.234375,1.167264,23.7557,23.7557,1479.7558
2024-06-30,1.5,0.5,4.14,20.9011,20.0,1.045055,80449267443.35,4,ttm_4q,1252270215.0,64.2427,1342.7438,observed,3406784385.234375,1.167264,24.3971,24.0,1541.8257
2024-09-30,1.5,0.5,4.14,20.9011,20.0,1.045055,82685406605.14,4,ttm_4q,1252270215.0,66.0284,1380.0663,observed,3406784385.234375,1.167264,24.3971,24.0,1584.6818
2024-12-31,1.5,0.5,4.14,20.9011,20.0,1.045055,86228146421.62,4,ttm_4q,1252270215.0,68.8575,1439.1966,observed,3406784385.234375,1.167264,24.3971,24.0,1652.579
2025-03-31,1.0,0.5,4.14,21.4505,20.0,1.072527,89010358286.23,4,ttm_4q,1252270215.0,71.0792,1524.6878,observed,2528856713.25,1.158205,24.8441,24.0,1705.9007
2025-06-30,1.0,0.5,4.14,21.4505,20.0,1.072527,89935497736.35,4,ttm_4q,1252270215.0,71.818,1540.5348,observed,1811382567.75,1.148061,24.6265,24.0,1723.6311
2025-09-30,1.0,0.5,4.14,21.4505,20.0,1.072527,90027341015.29,4,ttm_4q,1252270215.0,71.8913,1542.108,observed,1811382567.75,1.148061,24.6265,24.0,1725.3913
